Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,AREA_META,Category,Metric,Area_type
"Changwat Nong Khai, 18-24",38.11,47.41,14.47,0,52000,21000,27000,8100,0,Changwat Nong Khai,18-24,Age,Province
"Changwat Nong Khai, 25-34",34.55,50.76,14.68,0,102000,37000,54000,16000,0,Changwat Nong Khai,25-34,Age,Province
"Changwat Nong Khai, 35-44",33.48,53.21,13.31,0,67000,23000,36000,9100,0,Changwat Nong Khai,35-44,Age,Province
"Changwat Nong Khai, 45-54",29.05,56.75,14.2,0,56000,16000,31000,8100,0,Changwat Nong Khai,45-54,Age,Province
"Changwat Nong Khai, 55-64",27.34,57.6,15.06,0,41000,11000,24000,6500,0,Changwat Nong Khai,55-64,Age,Province
"Changwat Nong Khai, 65+",25.82,57.96,16.21,0,24000,6500,15000,4000,0,Changwat Nong Khai,65+,Age,Province
"Changwat Trat, 13-17",31.5,51.97,16.54,0,11000,3600,5900,1900,0,Changwat Trat,13-17,Age,Province
"Changwat Trat, 18-24",29.35,52.27,18.39,0,32000,10000,18000,6200,0,Changwat Trat,18-24,Age,Province
"Changwat Trat, 25-34",29.15,55.28,15.57,0,67000,21000,38000,11000,0,Changwat Trat,25-34,Age,Province
"Changwat Trat, 35-44",29.51,55.29,15.2,0,44000,14000,25000,7000,0,Changwat Trat,35-44,Age,Province
"Changwat Trat, 45-54",26.36,60.22,13.42,0,30000,8100,19000,4100,0,Changwat Trat,45-54,Age,Province
"Changwat Trat, 55-64",23.72,63.35,12.93,0,19000,4900,13000,2600,0,Changwat Trat,55-64,Age,Province
"Changwat Trat, 65+",23.7,61.6,14.71,0,12000,2900,7200,1800,0,Changwat Trat,65+,Age,Province
"Changwat Lamphun, 13-17",45.09,40.22,14.68,0,14000,6700,6100,2200,0,Changwat Lamphun,13-17,Age,Province
"Changwat Lamphun, 18-24",45.66,38.87,15.46,0,43000,21000,18000,7100,0,Changwat Lamphun,18-24,Age,Province
"Changwat Lamphun, 25-34",44.65,41.88,13.47,0,99000,46000,43000,14000,0,Changwat Lamphun,25-34,Age,Province
"Changwat Lamphun, 35-44",42.88,43.2,13.92,0,70000,31000,32000,10000,0,Changwat Lamphun,35-44,Age,Province
"Changwat Lamphun, 45-54",39.99,46.83,13.18,0,45000,18000,22000,6300,0,Changwat Lamphun,45-54,Age,Province
"Changwat Lamphun, 55-64",38.32,47.82,13.86,0,34000,13000,17000,5000,0,Changwat Lamphun,55-64,Age,Province
"Changwat Lamphun, 65+",36.58,49.1,14.32,0,22000,8600,11000,3300,0,Changwat Lamphun,65+,Age,Province
"Changwat Lampang, 13-17",35.79,55.39,8.82,0,18000,7000,11000,1700,0,Changwat Lampang,13-17,Age,Province
"Changwat Lampang, 18-24",34.36,55.15,10.5,0,64000,23000,37000,7000,0,Changwat Lampang,18-24,Age,Province
"Changwat Lampang, 25-34",33.26,56.33,10.42,0,130000,46000,77000,14000,0,Changwat Lampang,25-34,Age,Province
"Changwat Lampang, 35-44",31.8,57.98,10.22,0,95000,32000,57000,11000,0,Changwat Lampang,35-44,Age,Province
"Changwat Lampang, 45-54",26.42,62.76,10.83,0,73000,20000,47000,8500,0,Changwat Lampang,45-54,Age,Province
"Changwat Lampang, 55-64",24.06,65.23,10.71,0,68000,16000,45000,7100,0,Changwat Lampang,55-64,Age,Province
"Changwat Lampang, 65+",24.68,63.51,11.82,0,43000,11000,28000,5100,0,Changwat Lampang,65+,Age,Province
"Changwat Chiang Mai, 13-17",33.43,51.27,15.3,0,89000,32000,48000,15000,0,Changwat Chiang Mai,13-17,Age,Province
"Changwat Chiang Mai, 18-24",34.44,48.5,17.06,0,334000,122000,171000,60000,0,Changwat Chiang Mai,18-24,Age,Province
"Changwat Chiang Mai, 25-34",34.39,49.3,16.3,0.02,623000,221000,318000,105000,130,Changwat Chiang Mai,25-34,Age,Province
"Changwat Chiang Mai, 35-44",34.16,49.93,15.91,0,384000,133000,198000,63000,0,Changwat Chiang Mai,35-44,Age,Province
"Changwat Chiang Mai, 45-54",30.98,52.38,16.63,0,231000,74000,124000,39000,0,Changwat Chiang Mai,45-54,Age,Province
"Changwat Chiang Mai, 55-64",27.82,55.56,16.62,0,163000,46000,92000,27000,0,Changwat Chiang Mai,55-64,Age,Province
"Changwat Chiang Mai, 65+",27.15,55.72,17.13,0,125000,34000,71000,23000,0,Changwat Chiang Mai,65+,Age,Province
"Changwat Sa Kaeo, 13-17",32.07,60.11,7.81,0,24000,8400,16000,2100,0,Changwat Sa Kaeo,13-17,Age,Province
"Changwat Sa Kaeo, 18-24",30.63,59.59,9.78,0,68000,21000,43000,6800,0,Changwat Sa Kaeo,18-24,Age,Province
"Changwat Sa Kaeo, 25-34",29.87,60.37,9.76,0,137000,42000,85000,14000,0,Changwat Sa Kaeo,25-34,Age,Province
"Changwat Sa Kaeo, 35-44",28.09,62.7,9.21,0,79000,22000,51000,7500,0,Changwat Sa Kaeo,35-44,Age,Province
"Changwat Sa Kaeo, 45-54",22.15,68.9,8.96,0,51000,12000,36000,4500,0,Changwat Sa Kaeo,45-54,Age,Province
"Changwat Sa Kaeo, 55-64",18.68,73.67,7.65,0,34000,6500,26000,2800,0,Changwat Sa Kaeo,55-64,Age,Province
"Changwat Sa Kaeo, 65+",18.98,70.9,10.12,0,19000,3800,14000,1900,0,Changwat Sa Kaeo,65+,Age,Province
"Changwat Loei, 13-17",30.92,63.27,5.81,0,25000,8300,17000,1600,0,Changwat Loei,13-17,Age,Province
"Changwat Loei, 18-24",32.12,61.15,6.73,0,70000,24000,45000,5100,0,Changwat Loei,18-24,Age,Province
"Changwat Loei, 25-34",30.72,63.91,5.37,0,136000,43000,90000,7500,0,Changwat Loei,25-34,Age,Province
"Changwat Loei, 35-44",28.31,65.5,6.2,0,86000,26000,58000,5300,0,Changwat Loei,35-44,Age,Province
"Changwat Loei, 45-54",25.14,68.52,6.34,0,62000,16000,43000,4100,0,Changwat Loei,45-54,Age,Province
"Changwat Loei, 55-64",20.73,74.08,5.19,0,44000,9400,33000,2400,0,Changwat Loei,55-64,Age,Province
"Changwat Loei, 65+",22.2,71.69,6.11,0,25000,5600,18000,1600,0,Changwat Loei,65+,Age,Province
"Changwat Samut Prakan, 13-17",43.28,33.41,23.31,0,33000,16000,12000,8400,0,Changwat Samut Prakan,13-17,Age,Province
"Changwat Samut Prakan, 18-24",38.12,41.23,20.66,0,166000,66000,73000,36000,0,Changwat Samut Prakan,18-24,Age,Province
"Changwat Samut Prakan, 25-34",35.74,45.2,19.06,0,386000,142000,181000,77000,0,Changwat Samut Prakan,25-34,Age,Province
"Changwat Samut Prakan, 35-44",32.63,48.6,18.77,0,235000,79000,118000,47000,0,Changwat Samut Prakan,35-44,Age,Province
"Changwat Samut Prakan, 45-54",30.51,49.43,20.06,0,150000,46000,77000,31000,0,Changwat Samut Prakan,45-54,Age,Province
"Changwat Samut Prakan, 55-64",30.74,47.75,21.51,0,86000,26000,42000,20000,0,Changwat Samut Prakan,55-64,Age,Province
"Changwat Samut Prakan, 65+",31.17,45.65,23.18,0,47000,15000,22000,11000,0,Changwat Samut Prakan,65+,Age,Province
"Changwat Lop Buri, 13-17",30.28,59.29,10.43,0,24000,7800,16000,2800,0,Changwat Lop Buri,13-17,Age,Province
"Changwat Lop Buri, 18-24",31.37,58.72,9.9,0,82000,27000,53000,8900,0,Changwat Lop Buri,18-24,Age,Province
"Changwat Lop Buri, 25-34",30.89,58.83,10.28,0,167000,54000,103000,17000,0,Changwat Lop Buri,25-34,Age,Province
"Changwat Lop Buri, 35-44",28.27,62.06,9.67,0,106000,31000,67000,11000,0,Changwat Lop Buri,35-44,Age,Province
"Changwat Lop Buri, 45-54",25.15,65.65,9.2,0,73000,19000,48000,7300,0,Changwat Lop Buri,45-54,Age,Province
"Changwat Lop Buri, 55-64",21.47,69.13,9.4,0,55000,12000,37000,5200,0,Changwat Lop Buri,55-64,Age,Province
"Changwat Lop Buri, 65+",22.31,68.7,8.99,0,31000,7000,21000,2900,0,Changwat Lop Buri,65+,Age,Province
"Changwat Nakhon Ratchasima, 13-17",32.56,57.57,9.87,0,96000,34000,61000,10000,0,Changwat Nakhon Ratchasima,13-17,Age,Province
"Changwat Nakhon Ratchasima, 18-24",34.83,54.43,10.73,0,303000,115000,178000,36000,0,Changwat Nakhon Ratchasima,18-24,Age,Province
"Changwat Nakhon Ratchasima, 25-34",33.59,56.27,10.14,0,600000,212000,354000,62000,0,Changwat Nakhon Ratchasima,25-34,Age,Province
"Changwat Nakhon Ratchasima, 35-44",31.52,57.92,10.57,0,388000,126000,230000,43000,0,Changwat Nakhon Ratchasima,35-44,Age,Province
"Changwat Nakhon Ratchasima, 45-54",27.57,62.25,10.18,0,286000,81000,182000,31000,0,Changwat Nakhon Ratchasima,45-54,Age,Province
"Changwat Nakhon Ratchasima, 55-64",23.12,67.39,9.49,0,195000,47000,133000,19000,0,Changwat Nakhon Ratchasima,55-64,Age,Province
"Changwat Nakhon Ratchasima, 65+",23.2,67.2,9.6,0,110000,27000,74000,11000,0,Changwat Nakhon Ratchasima,65+,Age,Province
"Changwat Samut Sakhon, 13-17",27.56,35.21,37.23,0,29000,8700,10000,12000,0,Changwat Samut Sakhon,13-17,Age,Province
"Changwat Samut Sakhon, 18-24",23.21,34.47,42.32,0,142000,35000,52000,62000,0,Changwat Samut Sakhon,18-24,Age,Province
"Changwat Samut Sakhon, 25-34",23.68,38.53,37.79,0,317000,77000,126000,122000,0,Changwat Samut Sakhon,25-34,Age,Province
"Changwat Samut Sakhon, 35-44",23.59,44.66,31.76,0,177000,44000,83000,57000,0,Changwat Samut Sakhon,35-44,Age,Province
"Changwat Samut Sakhon, 45-54",21.63,50.69,27.68,0,107000,24000,56000,30000,0,Changwat Samut Sakhon,45-54,Age,Province
"Changwat Samut Sakhon, 55-64",20.15,50.78,29.07,0,59000,12000,30000,18000,0,Changwat Samut Sakhon,55-64,Age,Province
"Changwat Samut Sakhon, 65+",20.78,47.52,31.7,0,31000,6400,15000,10000,0,Changwat Samut Sakhon,65+,Age,Province
"Changwat Phichit, 13-17",42.2,34.9,22.9,0,16000,7700,6300,4200,0,Changwat Phichit,13-17,Age,Province
"Changwat Phichit, 18-24",40.5,36.69,22.81,0,47000,20000,18000,12000,0,Changwat Phichit,18-24,Age,Province
"Changwat Phichit, 25-34",38.42,37.33,24.25,0,93000,37000,36000,23000,0,Changwat Phichit,25-34,Age,Province
"Changwat Phichit, 35-44",35.62,40.52,23.86,0,58000,22000,24000,15000,0,Changwat Phichit,35-44,Age,Province
"Changwat Phichit, 45-54",32.18,44.37,23.45,0,43000,14000,19000,11000,0,Changwat Phichit,45-54,Age,Province
"Changwat Phichit, 55-64",27.65,46.86,25.48,0,34000,10000,16000,8700,0,Changwat Phichit,55-64,Age,Province
"Changwat Phichit, 65+",26.79,47.81,25.4,0,21000,5900,10000,5500,0,Changwat Phichit,65+,Age,Province
"Changwat Yasothon, 13-17",35.78,53.04,11.18,0,19000,7900,11000,2300,0,Changwat Yasothon,13-17,Age,Province
"Changwat Yasothon, 18-24",38.81,48.34,12.85,0,45000,19000,24000,6200,0,Changwat Yasothon,18-24,Age,Province
"Changwat Yasothon, 25-34",36.02,52.07,11.91,0,90000,34000,48000,11000,0,Changwat Yasothon,25-34,Age,Province
"Changwat Yasothon, 35-44",35.7,51.87,12.43,0,57000,21000,30000,7200,0,Changwat Yasothon,35-44,Age,Province
"Changwat Yasothon, 45-54",29.54,58.84,11.62,0,46000,14000,27000,5700,0,Changwat Yasothon,45-54,Age,Province
"Changwat Yasothon, 55-64",26.14,61.9,11.96,0,34000,9000,21000,4200,0,Changwat Yasothon,55-64,Age,Province
"Changwat Yasothon, 65+",25.53,63.4,11.07,0,21000,5400,13000,2300,0,Changwat Yasothon,65+,Age,Province
"Changwat Phetchaburi, 13-17",36.2,51.3,12.51,0,18000,7300,9800,2600,0,Changwat Phetchaburi,13-17,Age,Province
"Changwat Phetchaburi, 18-24",36.39,48.15,15.46,0,68000,27000,36000,11000,0,Changwat Phetchaburi,18-24,Age,Province
"Changwat Phetchaburi, 25-34",34.91,50.78,14.31,0,143000,52000,76000,22000,0,Changwat Phetchaburi,25-34,Age,Province
"Changwat Phetchaburi, 35-44",34.15,52.4,13.34,0.11,88000,30000,49000,12000,0,Changwat Phetchaburi,35-44,Age,Province
"Changwat Phetchaburi, 45-54",29.83,57.9,12.27,0,57000,18000,34000,7100,0,Changwat Phetchaburi,45-54,Age,Province
"Changwat Phetchaburi, 55-64",27.27,61.28,11.46,0,38000,10000,23000,4500,0,Changwat Phetchaburi,55-64,Age,Province
"Changwat Phetchaburi, 65+",28.07,59.79,12.14,0,22000,6400,14000,2900,0,Changwat Phetchaburi,65+,Age,Province
"Changwat Phitsanulok, 13-17",38.72,37.25,24.02,0,29000,12000,12000,7600,0,Changwat Phitsanulok,13-17,Age,Province
"Changwat Phitsanulok, 18-24",40.37,36.9,22.72,0,116000,51000,46000,29000,0,Changwat Phitsanulok,18-24,Age,Province
"Changwat Phitsanulok, 25-34",37.88,37.49,24.63,0,208000,83000,81000,53000,0,Changwat Phitsanulok,25-34,Age,Province
"Changwat Phitsanulok, 35-44",35.5,39.39,25.11,0,131000,49000,54000,33000,0,Changwat Phitsanulok,35-44,Age,Province
"Changwat Phitsanulok, 45-54",30.96,43.55,25.48,0,94000,30000,41000,24000,0,Changwat Phitsanulok,45-54,Age,Province
"Changwat Phitsanulok, 55-64",28.5,43.3,28.2,0,68000,20000,31000,20000,0,Changwat Phitsanulok,55-64,Age,Province
"Changwat Phitsanulok, 65+",27.48,43.61,28.91,0,41000,12000,19000,12000,0,Changwat Phitsanulok,65+,Age,Province
"Changwat Pathum Thani, 13-17",40.54,35.04,24.42,0,40000,17000,15000,11000,0,Changwat Pathum Thani,13-17,Age,Province
"Changwat Pathum Thani, 18-24",36.43,41.06,22.5,0,250000,97000,110000,61000,0,Changwat Pathum Thani,18-24,Age,Province
"Changwat Pathum Thani, 25-34",35.58,43.51,20.91,0,468000,174000,211000,102000,0,Changwat Pathum Thani,25-34,Age,Province
"Changwat Pathum Thani, 35-44",33.11,47.01,19.88,0,284000,97000,139000,59000,0,Changwat Pathum Thani,35-44,Age,Province
"Changwat Pathum Thani, 45-54",30.22,49.67,20.11,0,184000,57000,94000,38000,0,Changwat Pathum Thani,45-54,Age,Province
"Changwat Pathum Thani, 55-64",29.6,48.56,21.74,0.1,106000,33000,53000,23000,0,Changwat Pathum Thani,55-64,Age,Province
"Changwat Pathum Thani, 65+",30.92,46.25,22.83,0,60000,18000,29000,14000,0,Changwat Pathum Thani,65+,Age,Province
"Changwat Sukhothai, 13-17",44.52,35.76,19.72,0,21000,10000,8400,4300,0,Changwat Sukhothai,13-17,Age,Province
"Changwat Sukhothai, 18-24",45.33,35.96,18.71,0,55000,27000,21000,11000,0,Changwat Sukhothai,18-24,Age,Province
"Changwat Sukhothai, 25-34",42.67,38.37,18.96,0,112000,51000,44000,22000,0,Changwat Sukhothai,25-34,Age,Province
"Changwat Sukhothai, 35-44",40.61,40.87,18.53,0,72000,30000,30000,14000,0,Changwat Sukhothai,35-44,Age,Province
"Changwat Sukhothai, 45-54",36.81,44.04,19.14,0,57000,21000,26000,11000,0,Changwat Sukhothai,45-54,Age,Province
"Changwat Sukhothai, 55-64",33.84,47.05,19.11,0,46000,17000,21000,8900,0,Changwat Sukhothai,55-64,Age,Province
"Changwat Sukhothai, 65+",35.8,47.47,16.73,0,26000,10000,13000,4800,0,Changwat Sukhothai,65+,Age,Province
"Changwat Samut Songkhram, 13-17",30.03,33.9,36.07,0,5800,1900,2300,2300,0,Changwat Samut Songkhram,13-17,Age,Province
"Changwat Samut Songkhram, 18-24",26.87,37.98,35.15,0,22000,6600,8700,8300,0,Changwat Samut Songkhram,18-24,Age,Province
"Changwat Samut Songkhram, 25-34",27.74,40.11,32.15,0,50000,14000,21000,17000,0,Changwat Samut Songkhram,25-34,Age,Province
"Changwat Samut Songkhram, 35-44",25.02,43.93,31.05,0,31000,7900,14000,9700,0,Changwat Samut Songkhram,35-44,Age,Province
"Changwat Samut Songkhram, 45-54",23.96,47.73,28.32,0,21000,5000,10000,6200,0,Changwat Samut Songkhram,45-54,Age,Province
"Changwat Samut Songkhram, 55-64",23.96,49.17,26.87,0,14000,3500,7100,4000,0,Changwat Samut Songkhram,55-64,Age,Province
"Changwat Samut Songkhram, 65+",19.77,49.22,31.01,0,9300,1900,4800,3000,0,Changwat Samut Songkhram,65+,Age,Province
"Bangkok, 13-17",42.17,19.9,37.93,0,480000,211000,100000,190000,0,Bangkok,13-17,Age,Province
"Bangkok, 18-24",35.72,22.33,41.95,0,2730000,999000,626000,1180000,0,Bangkok,18-24,Age,Province
"Bangkok, 25-34",36.35,26.72,36.93,0,6130000,2280000,1670000,2310000,230,Bangkok,25-34,Age,Province
"Bangkok, 35-44",37.39,31.64,30.97,0,3590000,1380000,1170000,1140000,190,Bangkok,35-44,Age,Province
"Bangkok, 45-54",37.05,34.96,27.98,0.01,2330000,890000,839000,671000,290,Bangkok,45-54,Age,Province
"Bangkok, 55-64",37.64,33.56,28.77,0.03,1400000,540000,482000,412000,450,Bangkok,55-64,Age,Province
"Bangkok, 65+",37.5,31.79,30.68,0.02,900000,345000,291000,282000,280,Bangkok,65+,Age,Province
"Changwat Sing Buri, 13-17",28.77,53.32,17.9,0,7000,2300,4000,1400,0,Changwat Sing Buri,13-17,Age,Province
"Changwat Sing Buri, 18-24",30.98,51.45,17.57,0,22000,7200,12000,4200,0,Changwat Sing Buri,18-24,Age,Province
"Changwat Sing Buri, 25-34",27.72,55.78,16.5,0,50000,14000,29000,8600,0,Changwat Sing Buri,25-34,Age,Province
"Changwat Sing Buri, 35-44",26.15,57.25,16.61,0,34000,9200,21000,5800,0,Changwat Sing Buri,35-44,Age,Province
"Changwat Sing Buri, 45-54",22.99,58.5,18.51,0,22000,5600,13000,4200,0,Changwat Sing Buri,45-54,Age,Province
"Changwat Sing Buri, 55-64",20.49,60.69,18.82,0,19000,4000,12000,3600,0,Changwat Sing Buri,55-64,Age,Province
"Changwat Sing Buri, 65+",22.77,58.98,18.25,0,10000,2400,6300,1800,0,Changwat Sing Buri,65+,Age,Province
"Changwat Si Sa Ket, 13-17",34.41,49.56,16.03,0,57000,22000,31000,10000,0,Changwat Si Sa Ket,13-17,Age,Province
"Changwat Si Sa Ket, 18-24",35.31,47.4,17.29,0,124000,47000,63000,23000,0,Changwat Si Sa Ket,18-24,Age,Province
"Changwat Si Sa Ket, 25-34",33.65,49.55,16.81,0,221000,80000,115000,40000,0,Changwat Si Sa Ket,25-34,Age,Province
"Changwat Si Sa Ket, 35-44",31.26,51.94,16.8,0,136000,44000,74000,24000,0,Changwat Si Sa Ket,35-44,Age,Province
"Changwat Si Sa Ket, 45-54",25.74,58.45,15.8,0,106000,28000,63000,17000,0,Changwat Si Sa Ket,45-54,Age,Province
"Changwat Si Sa Ket, 55-64",23.3,61.47,15.22,0,70000,17000,44000,11000,0,Changwat Si Sa Ket,55-64,Age,Province
"Changwat Si Sa Ket, 65+",24.24,61.1,14.66,0,39000,9700,24000,6200,0,Changwat Si Sa Ket,65+,Age,Province
"Changwat Prachin Buri, 13-17",30.29,57.74,11.97,0,22000,7400,14000,3100,0,Changwat Prachin Buri,13-17,Age,Province
"Changwat Prachin Buri, 18-24",30.35,57.37,12.29,0,86000,27000,52000,11000,0,Changwat Prachin Buri,18-24,Age,Province
"Changwat Prachin Buri, 25-34",28.79,58.84,12.37,0,183000,53000,113000,24000,0,Changwat Prachin Buri,25-34,Age,Province
"Changwat Prachin Buri, 35-44",26.29,60.97,12.73,0,115000,31000,72000,15000,0,Changwat Prachin Buri,35-44,Age,Province
"Changwat Prachin Buri, 45-54",22.89,66.61,10.5,0,69000,17000,47000,7700,0,Changwat Prachin Buri,45-54,Age,Province
"Changwat Prachin Buri, 55-64",19.73,69.11,11.16,0,40000,8100,27000,4600,0,Changwat Prachin Buri,55-64,Age,Province
"Changwat Prachin Buri, 65+",21.68,64.22,14.1,0,21000,4600,14000,3100,0,Changwat Prachin Buri,65+,Age,Province
"Changwat Krabi, 13-17",23.23,64.11,12.67,0,26000,6600,18000,3800,0,Changwat Krabi,13-17,Age,Province
"Changwat Krabi, 18-24",24.89,60.31,14.8,0,74000,20000,48000,12000,0,Changwat Krabi,18-24,Age,Province
"Changwat Krabi, 25-34",24.36,62.78,12.87,0,155000,40000,100000,21000,0,Changwat Krabi,25-34,Age,Province
"Changwat Krabi, 35-44",23.71,62.85,13.44,0,99000,24000,65000,14000,0,Changwat Krabi,35-44,Age,Province
"Changwat Krabi, 45-54",19.66,67.96,12.38,0,60000,12000,42000,7800,0,Changwat Krabi,45-54,Age,Province
"Changwat Krabi, 55-64",16.44,72.09,11.2,0.27,36000,6200,26000,4200,0,Changwat Krabi,55-64,Age,Province
"Changwat Krabi, 65+",18.62,67.84,13.54,0,21000,3900,15000,2900,0,Changwat Krabi,65+,Age,Province
"Changwat Phuket, 13-17",24.76,43.11,32.13,0,28000,7600,13000,10000,0,Changwat Phuket,13-17,Age,Province
"Changwat Phuket, 18-24",22.31,39.81,37.88,0,143000,33000,59000,58000,0,Changwat Phuket,18-24,Age,Province
"Changwat Phuket, 25-34",24.74,42.02,33.23,0,341000,87000,148000,115000,0,Changwat Phuket,25-34,Age,Province
"Changwat Phuket, 35-44",25.66,45.08,29.26,0,204000,52000,93000,61000,0,Changwat Phuket,35-44,Age,Province
"Changwat Phuket, 45-54",23.11,49.25,27.64,0,114000,27000,58000,32000,0,Changwat Phuket,45-54,Age,Province
"Changwat Phuket, 55-64",19.8,51.36,28.85,0,58000,12000,29000,17000,0,Changwat Phuket,55-64,Age,Province
"Changwat Phuket, 65+",17.35,51.88,30.78,0,35000,6600,18000,11000,0,Changwat Phuket,65+,Age,Province
"Changwat Surat Thani, 13-17",23.13,55.37,21.5,0,48000,12000,29000,11000,0,Changwat Surat Thani,13-17,Age,Province
"Changwat Surat Thani, 18-24",22.69,52.97,24.34,0,167000,41000,94000,43000,0,Changwat Surat Thani,18-24,Age,Province
"Changwat Surat Thani, 25-34",24.32,53.65,22.03,0,357000,91000,200000,83000,0,Changwat Surat Thani,25-34,Age,Province
"Changwat Surat Thani, 35-44",24.06,55.04,20.89,0,228000,56000,129000,50000,0,Changwat Surat Thani,35-44,Age,Province
"Changwat Surat Thani, 45-54",20.1,59.89,20,0,143000,30000,86000,29000,0,Changwat Surat Thani,45-54,Age,Province
"Changwat Surat Thani, 55-64",18.36,61.24,20.4,0,86000,16000,54000,19000,0,Changwat Surat Thani,55-64,Age,Province
"Changwat Surat Thani, 65+",17.13,61.47,21.4,0,50000,8800,31000,11000,0,Changwat Surat Thani,65+,Age,Province
"Changwat Khon Kaen, 13-17",35.33,44.07,20.6,0,66000,25000,33000,15000,0,Changwat Khon Kaen,13-17,Age,Province
"Changwat Khon Kaen, 18-24",37.54,42.22,20.24,0,209000,85000,96000,46000,0,Changwat Khon Kaen,18-24,Age,Province
"Changwat Khon Kaen, 25-34",35.95,42.64,21.41,0,386000,147000,175000,88000,0,Changwat Khon Kaen,25-34,Age,Province
"Changwat Khon Kaen, 35-44",32.89,45.43,21.67,0,242000,82000,114000,55000,0,Changwat Khon Kaen,35-44,Age,Province
"Changwat Khon Kaen, 45-54",28.44,49.7,21.85,0,177000,52000,90000,40000,0,Changwat Khon Kaen,45-54,Age,Province
"Changwat Khon Kaen, 55-64",26.32,51.98,21.71,0,132000,35000,69000,30000,100,Changwat Khon Kaen,55-64,Age,Province
"Changwat Khon Kaen, 65+",24.82,52.13,23.05,0,74000,19000,41000,17000,0,Changwat Khon Kaen,65+,Age,Province
"Changwat Trang, 13-17",25.13,48.2,26.67,0,25000,7300,14000,7800,0,Changwat Trang,13-17,Age,Province
"Changwat Trang, 18-24",24.14,47.94,27.92,0,75000,20000,40000,24000,0,Changwat Trang,18-24,Age,Province
"Changwat Trang, 25-34",24.45,49.29,26.26,0,152000,39000,80000,43000,0,Changwat Trang,25-34,Age,Province
"Changwat Trang, 35-44",23.06,50.65,26.29,0,101000,24000,52000,29000,0,Changwat Trang,35-44,Age,Province
"Changwat Trang, 45-54",21.76,50.29,27.95,0,67000,15000,36000,20000,0,Changwat Trang,45-54,Age,Province
"Changwat Trang, 55-64",19.92,52.12,27.96,0,44000,9100,23000,13000,0,Changwat Trang,55-64,Age,Province
"Changwat Trang, 65+",19.41,52.11,28.48,0,27000,5400,14000,8200,0,Changwat Trang,65+,Age,Province
"Changwat Prachuap Khiri Khan, 13-17",22.73,60.95,16.32,0,20000,4900,13000,3500,0,Changwat Prachuap Khiri Khan,13-17,Age,Province
"Changwat Prachuap Khiri Khan, 18-24",24.37,59.22,16.41,0,68000,18000,42000,12000,0,Changwat Prachuap Khiri Khan,18-24,Age,Province
"Changwat Prachuap Khiri Khan, 25-34",24.99,60.26,14.76,0,144000,38000,91000,21000,0,Changwat Prachuap Khiri Khan,25-34,Age,Province
"Changwat Prachuap Khiri Khan, 35-44",24.28,62.06,13.66,0,91000,23000,57000,13000,0,Changwat Prachuap Khiri Khan,35-44,Age,Province
"Changwat Prachuap Khiri Khan, 45-54",21.63,65.9,12.47,0,60000,13000,41000,7800,0,Changwat Prachuap Khiri Khan,45-54,Age,Province
"Changwat Prachuap Khiri Khan, 55-64",18.22,70.04,11.74,0,39000,7100,27000,4700,0,Changwat Prachuap Khiri Khan,55-64,Age,Province
"Changwat Prachuap Khiri Khan, 65+",19.98,64.45,15.58,0,24000,4900,16000,3800,0,Changwat Prachuap Khiri Khan,65+,Age,Province
"Changwat Amnat Charoen, 13-17",40.78,46.5,12.72,0,14000,6300,7100,1900,0,Changwat Amnat Charoen,13-17,Age,Province
"Changwat Amnat Charoen, 18-24",38.74,47.27,13.99,0,31000,13000,16000,4800,0,Changwat Amnat Charoen,18-24,Age,Province
"Changwat Amnat Charoen, 25-34",39.25,46.5,14.25,0,60000,24000,28000,8900,0,Changwat Amnat Charoen,25-34,Age,Province
"Changwat Amnat Charoen, 35-44",36.6,49.2,14.2,0,36000,13000,18000,5300,0,Changwat Amnat Charoen,35-44,Age,Province
"Changwat Amnat Charoen, 45-54",33.92,53.34,12.74,0,28000,9900,16000,3800,0,Changwat Amnat Charoen,45-54,Age,Province
"Changwat Amnat Charoen, 55-64",30.39,54.3,15.31,0,22000,7000,11000,3500,0,Changwat Amnat Charoen,55-64,Age,Province
"Changwat Amnat Charoen, 65+",30.86,55.06,14.07,0,12000,3700,6700,1700,0,Changwat Amnat Charoen,65+,Age,Province
